str,en_US,uz_UZ,ru_RU
greeting,"Good morning,","Assalomu aleykum,","Здравствуйте,"
notification,Notifications,Bildirishnomalar,Уведомления
lang,Application language,Ilova tili,Язык приложения
connect,Contact us,Biz bilan bog'lanish,связаться с нами
theme,Application theme,Ilova foni,Фон приложения
logout,Logout,Ilovadan chiqish,Выйти из приложения
uzbek,Uzbek,O'zbek tili,Узбекский язык
russian,Russian,Rus tili,Русский язык
locationOn,Enable live location,Lakatsiya yuborishni yoqish,Включить отправку данных о лактации
locationOff,Disable live location,Lakatsiya yuborishni to'xtatish,Прекращение отправки лактации
comeIn,I came,Keldim,Я пришел
getOut,I went,Ketdim,Я ушел
calendart,Calendar,Kalendar,Календарь
allDays,All working days,Barcha ish kunlari,Все рабочие дни
come,Come,Keldi,Пришел
leave,Gone,Ketdi,Ушел
didntLeave,Did not leave,Ketmagan,Не ушел
workTime,Working time,Ish vaqti,Рабочее время
early,Arrive Early,Erta kelish,Прибывать рано
late,Late,Kech kelish,Прибытие поздно
forgot,Forgot,Unutish,Забыть
relax,Rest,Dam olish,Отдых
dontCome,Did not come,Kelmaslik,Не идет
login,Enter,Kirish,Входить
didntComeYet,Did not come yet,Kelmagan,Он не пришел
comingDays,The coming days,Kelgan kunlar,Дни прибытия
navComeIn,I have arrived,Nav Keldim,Я прибыл
navGetOut,Nav Gone,Nav Ketdim,я ушел с дежурства
notYet,Not yet,Hali emas,Еще нет
earlyy,Early,Erta,Еще рано
weekends,,Dam olish kuni,Выходной
holidays,,Bayram kuni,Праздничный день
english,English,Ingliz tili,английский язык
